날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2023-01-27,23:00,지출,생활,미분류,지에스 더 프레시 미사점,-21680,KRW,LOCA 롯데카드,
2023-01-27,22:49,지출,카페/간식,미분류,몽마베이커리,-5500,KRW,LOCA 롯데카드,
2023-01-27,22:43,지출,식사,미분류,딱 좋아,-77000,KRW,모두의 쇼핑,
2023-01-27,19:41,지출,생활,미분류,(주)다이소아성산업,-4000,KRW,LOCA 롯데카드,
2023-01-27,08:27,지출,식사,미분류,NICE_통신판매,-5900,KRW,LOCA 롯데카드,
2023-01-26,14:37,지출,교통,미분류,티머니 지하철,-1650,KRW,모두의 쇼핑,
2023-01-26,14:37,지출,교통,미분류,티머니 버스,-1200,KRW,모두의 쇼핑,
2023-01-26,14:37,지출,교통,미분류,경기시내버스_이비,-250,KRW,모두의 쇼핑,
2023-01-26,08:21,지출,식사,미분류,NICE_통신판매,-5900,KRW,LOCA 롯데카드,
2023-01-25,19:28,지출,생활,미분류,(주)골드그린마트,-5790,KRW,모두의 쇼핑,
2023-01-25,16:41,지출,주거/통신,미분류,아파트관리비,-88760,KRW,신한은행 The More,
2023-01-25,13:32,지출,식사,미분류,송쉐프,-9000,KRW,모두의 쇼핑,
2023-01-23,17:46,지출,의복/미용,미분류,쿠팡(쿠페이),-23000,KRW,LOCA 롯데카드,
2023-01-23,09:45,지출,식사,미분류,배달의민족_선물하기,-50000,KRW,LOCA 롯데카드,
2023-01-22,11:39,지출,의복/미용,미분류,네이버파이낸셜(주),-43440,KRW,LOCA 롯데카드,
2023-01-21,14:52,지출,카페/간식,미분류,(주)학산 테라로사커피 국립현대미술관(서울관)지점,-19800,KRW,LOCA 롯데카드,
2023-01-21,12:46,지출,교통,미분류,티머니택시_0,-4800,KRW,LOCA 롯데카드,
2023-01-21,12:37,지출,식사,미분류,금성관 나주곰탕,-26000,KRW,LOCA 롯데카드,
2023-01-21,00:01,지출,생활,미분류,이마트24 한국은행점,-6000,KRW,LOCA 롯데카드,
2023-01-20,23:32,지출,문화/여가,미분류,네이버페이,-17500,KRW,LOCA 롯데카드,
2023-01-20,23:28,지출,문화/여가,미분류,네이버페이,-29000,KRW,LOCA 롯데카드,
2023-01-20,22:05,지출,생활,미분류,지에스25(GS25) 북창점,-14100,KRW,LOCA 롯데카드,
2023-01-20,21:35,지출,생활,미분류,(주)다이소아성산업,-2000,KRW,모두의 쇼핑,
2023-01-20,21:30,지출,생활,미분류,주식회사 와이케이프렌즈,-5500,KRW,LOCA 롯데카드,
2023-01-20,20:15,지출,카페/간식,미분류,주식회사 가배도 남대문시장점,-10800,KRW,LOCA 롯데카드,
2023-01-20,19:47,지출,식사,미분류,신성식당,-51000,KRW,LOCA 롯데카드,
2023-01-20,08:43,지출,카페/간식,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-01-19,18:47,지출,식사,미분류,정순화청국장서초본점,-19000,KRW,LOCA 롯데카드,
2023-01-19,18:09,지출,문화/여가,미분류,구글페이먼트,-2400,KRW,LOCA 롯데카드,
2023-01-19,08:36,지출,식사,미분류,NICE결제대행,-5900,KRW,신한은행 The More,
2023-01-18,20:21,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-8000,KRW,LOCA 롯데카드,
2023-01-18,20:20,지출,생활,미분류,(주)이마트에브리데이 마곡나루점,-14480,KRW,LOCA 롯데카드,
